mode: set
httpTaskManager/main.go:16.30,18.34 2 1
httpTaskManager/main.go:18.34,21.3 2 1
httpTaskManager/main.go:23.2,23.26 1 1
httpTaskManager/main.go:29.61,34.38 3 1
httpTaskManager/main.go:34.38,36.34 2 1
httpTaskManager/main.go:36.34,38.4 1 0
httpTaskManager/main.go:40.3,40.94 1 1
httpTaskManager/main.go:43.2,45.10 2 1
httpTaskManager/main.go:48.72,49.38 1 1
httpTaskManager/main.go:49.38,50.29 1 1
httpTaskManager/main.go:50.29,53.4 2 1
httpTaskManager/main.go:56.2,56.50 1 1
httpTaskManager/server.go:20.50,23.2 2 0
httpTaskManager/server.go:25.60,26.62 1 0
httpTaskManager/server.go:26.62,31.3 3 0
httpTaskManager/server.go:34.75,35.76 1 1
httpTaskManager/server.go:35.76,40.3 3 0
httpTaskManager/server.go:42.2,42.30 1 1
httpTaskManager/server.go:45.76,49.42 3 1
httpTaskManager/server.go:49.42,53.3 2 1
httpTaskManager/server.go:55.2,55.16 1 1
httpTaskManager/server.go:55.16,59.3 2 0
httpTaskManager/server.go:61.2,63.48 2 1
httpTaskManager/server.go:63.48,68.3 3 0
httpTaskManager/server.go:70.2,70.30 1 1
httpTaskManager/server.go:73.76,79.16 4 1
httpTaskManager/server.go:79.16,83.3 2 1
httpTaskManager/server.go:85.2,87.26 2 1
httpTaskManager/server.go:87.26,91.3 2 1
httpTaskManager/server.go:93.2,93.78 1 1
httpTaskManager/server.go:93.78,98.3 3 0
httpTaskManager/server.go:100.2,100.30 1 1
httpTaskManager/server.go:103.71,113.16 5 0
httpTaskManager/server.go:113.16,117.3 2 0
httpTaskManager/server.go:119.2,137.58 3 0
httpTaskManager/server.go:137.58,141.3 2 0
httpTaskManager/server.go:143.2,145.32 2 0
httpTaskManager/server.go:145.32,149.3 2 0
httpTaskManager/server.go:152.2,176.16 6 0
httpTaskManager/server.go:176.16,180.3 2 0
httpTaskManager/server.go:182.2,184.49 2 0
httpTaskManager/server.go:184.49,189.3 3 0
httpTaskManager/server.go:192.13,227.45 15 0
httpTaskManager/server.go:227.45,229.3 1 0
